feature_name,X,Y,Z,coord,val,gx,gy,gz,intrusion_contact_type,intrusion_side
Voiseys Bay Intrusion,558443.424,6241086.469,-1147.06,,,,,,floor,
Voiseys Bay Intrusion,558690.008,6241078.249,-1238.97,,,,,,floor,
Voiseys Bay Intrusion,559199.614,6241078.249,-1466.91,,,,,,floor,
Voiseys Bay Intrusion,558894.082,6240895.366,0,,,,,,vertex,
Voiseys Bay Intrusion,557570.241,6242251.385,-10,,,,,,roof,
Voiseys Bay Intrusion,556766.103,6242488.319,-10,,,,,,roof,
Voiseys Bay Intrusion,558833.886,6241124.156,-15,,,,,,roof,
Voiseys Bay Intrusion,557318.948,6241562.124,-20,,,,,,roof,
Voiseys Bay Intrusion,558101.546,6240578.491,-20,,,,,,roof,
Voiseys Bay Intrusion,557914.871,6241440.068,-22,,,,,,roof,
Voiseys Bay Intrusion,558324.12,6241906.755,-25,,,,,,roof,
Voiseys Bay Intrusion,557491.263,6240757.986,-25,,,,,,roof,
Voiseys Bay Intrusion,556816.361,6242064.711,-30,,,,,,roof,
Voiseys Bay Intrusion,559580.586,6241152.875,-5,,,,,,roof,
Voiseys Bay Intrusion,559235.955,6241497.506,-50,,,,,,roof,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
